nOk	nBad	nSkipped	Trio	Reference	Merge	Variants	MendErr
106567	2812	0	HG00513,HG00512,HG00514	grch38	naive	all	0.025708774079119392
107004	2375	0	NA19238,NA19239,NA19240	grch38	naive	all	0.021713491620877864
29833	1999	0	HG00732,HG00731,HG00733	grch38	naive	present	0.06279844181955264
28763	2515	0	HG00513,HG00512,HG00514	grch38	naive	present	0.08040795447279238
36755	2076	0	NA19238,NA19239,NA19240	grch38	naive	present	0.05346243980324998
322248	7689	0	HG00732,HG00731,HG00733	chm13	exact	all	0.02330444903117868
319802	10135	0	HG00513,HG00512,HG00514	chm13	exact	all	0.030717985554818042
320506	9431	0	NA19238,NA19239,NA19240	chm13	exact	all	0.02858424487099052
34709	7689	0	HG00732,HG00731,HG00733	chm13	exact	present	0.18135289400443416
34311	10135	0	HG00513,HG00512,HG00514	chm13	exact	present	0.22802951896683615
46360	9431	0	NA19238,NA19239,NA19240	chm13	exact	present	0.16904160169202917
208728	3942	0	HG00732,HG00731,HG00733	chm13	truvari	all	0.018535759627592043
208842	3828	0	HG00513,HG00512,HG00514	chm13	truvari	all	0.017999717872760616
209154	3516	0	NA19238,NA19239,NA19240	chm13	truvari	all	0.016532656227958808
33887	3942	0	HG00732,HG00731,HG00733	chm13	truvari	present	0.10420576806154008
33689	3828	0	HG00513,HG00512,HG00514	chm13	truvari	present	0.10203374470240158
45175	3516	0	NA19238,NA19239,NA19240	chm13	truvari	present	0.07221047010741205
148282	3693	0	HG00732,HG00731,HG00733	chm13	jasmine	all	0.024300049350222078
148335	3640	0	HG00513,HG00512,HG00514	chm13	jasmine	all	0.023951307780885014
148773	3202	0	NA19238,NA19239,NA19240	chm13	jasmine	all	0.02106925481164665
33859	3693	0	HG00732,HG00731,HG00733	chm13	jasmine	present	0.09834363016616958
33650	3640	0	HG00513,HG00512,HG00514	chm13	jasmine	present	0.09761330115312417
44640	3202	0	NA19238,NA19239,NA19240	chm13	jasmine	present	0.06692864010701893
84710	2440	0	HG00732,HG00731,HG00733	chm13	survivor	all	0.027997705106138842
85409	1741	0	HG00513,HG00512,HG00514	chm13	survivor	all	0.01997705106138841
85395	1755	0	NA19238,NA19239,NA19240	chm13	survivor	all	0.020137693631669534
25232	2440	0	HG00732,HG00731,HG00733	chm13	survivor	present	0.08817577334489737
24869	1741	0	HG00513,HG00512,HG00514	chm13	survivor	present	0.06542653137918075
32370	1755	0	NA19238,NA19239,NA19240	chm13	survivor	present	0.05142857142857143
134342	3252	0	HG00732,HG00731,HG00733	chm13	naive	all	0.023634751515327703
134506	3088	0	HG00513,HG00512,HG00514	chm13	naive	all	0.022442839077285347
134834	2760	0	NA19238,NA19239,NA19240	chm13	naive	all	0.020059014201200633
29577	3252	0	HG00732,HG00731,HG00733	chm13	naive	present	0.09905875902403363
29172	3088	0	HG00513,HG00512,HG00514	chm13	naive	present	0.09572225666460013
38740	2760	0	NA19238,NA19239,NA19240	chm13	naive	present	0.06650602409638554
